"","geneSymbol","cluster"
"1147","Capzb",4
"1148","Car11",4
"1149","Car12",6
"1150","Car13",5
"1151","Car2",5
"1152","Car4",5
"1153","Car9",6
"1154","Card10",2
"1155","Card14",4
"1156","Card6",4
"1157","Carf",2
"1158","Carhsp1",9
"1159","Carm1",2
"1160","Cars",5
"1161","Casc3",8
"1162","Cask",5
"1163","Casp12",4
"1164","Casp14",5
"1165","Casp3",3
"1166","Casp8ap2",5
"1167","Casq1",1
"1168","Casq2",4
"1169","Casr",4
"1170","Cast",9
"1171","Casz1",7
"1172","Catsperg1",5
"1173","Catsperg2",5
"1174","Cav1",6
"1175","Cav2",6
"1176","Cav3",1
"1177","Cbfa2t2",7
"1178","Cbll1",5
"1179","Cbln2",5
"1180","Cbln3",4
"1181","Cbr1",7
"1182","Cbr3",3
"1183","Cbr4",4
"1184","Cbx1",3
"1185","Cbx2",5
"1186","Cbx4",1
"1187","Cbx6",1
"1188","Cby1",1
"1189","Cc2d1b",5
"1190","Cc2d2a",4
"1191","Ccar1",3
"1192","Ccbl1",4
"1193","Ccdc101",3
"1194","Ccdc107",1
"1195","Ccdc109b",8
"1196","Ccdc110",4
"1197","Ccdc113",6
"1198","Ccdc115",1
"1199","Ccdc117",5
